p=20, Rao-1 mae = 0.13730291237819
63,62.837003746762,0.16299625323839
92,91.807442635601,0.19255736439889
56,55.852987852436,0.14701214756428
86,85.888104192938,0.11189580706184
32,31.935034527434,0.064965472566197
91,90.950193810985,0.049806189014831
35,34.874438968007,0.1255610319929
93,92.706567994096,0.29343200590372
36,35.925292215598,0.074707784401852
62,61.812198759037,0.18780124096258
45,44.874997433183,0.12500256681735
37,36.90316180955,0.096838190450406
32,31.935178167684,0.064821832315914
30,29.93544733944,0.064552660560221
21,20.945390045938,0.054609954061867
112,111.64450199145,0.35549800855119
39,38.90891472967,0.091085270329835
52,51.82543632939,0.17456367061043
80,79.770385970707,0.22961402929258
56,55.854550973028,0.14544902697204
35,34.929409347125,0.070590652874593

p=20, Rao-2 mae = 0.1510273876007
63,62.814140168187,0.18585983181275
92,91.787896507911,0.21210349208863
56,55.842099935542,0.15790006445764
86,85.879728900586,0.12027109941437
32,31.92630217861,0.073697821389825
91,90.936300846851,0.063699153149159
35,34.860472936519,0.1395270634809
93,92.66019778414,0.33980221585963
36,35.918344347722,0.081655652278073
62,61.794709045125,0.20529095487547
45,44.860430497827,0.13956950217327
37,36.901383688332,0.098616311668366
32,31.934472824262,0.065527175737554
30,29.935390106379,0.064609893620901
21,20.939507266503,0.060492733496694
112,111.61303459706,0.38696540294089
39,38.893318024519,0.10668197548142
52,51.812879354388,0.18712064561224
80,79.748511162281,0.25148883771905
56,55.842960247035,0.15703975296544
35,34.926344440607,0.073655559392506

p=40, Rao-3 mae = 0.13509456428202
63,62.831045414536,0.16895458546381
92,91.808685255388,0.1913147446122
56,55.849393946315,0.15060605368473
86,85.884516755397,0.11548324460296
32,31.930951656878,0.069048343122184
91,90.934643885078,0.065356114922366
35,34.851754518885,0.14824548111479
93,92.698288428229,0.30171157177146
36,35.927369958886,0.072630041114486
62,61.81096119343,0.18903880656959
45,44.900471295839,0.099528704161202
37,36.90064518169,0.099354818310225
32,31.933757594719,0.066242405280832
30,29.944335530645,0.055664469355335
21,20.939848376459,0.060151623540754
112,111.66535488635,0.33464511365221
39,38.912439517765,0.087560482234785
52,51.824559689043,0.17544031095716
80,79.799066763566,0.20093323643358
56,55.860480912535,0.13951908746468
35,34.954443388447,0.045556611553032
